Burning Time; Firing Node; Firing Neuron; Burning Node; Burning Neuron;External Source; From Internal State; To Internal State; Step in State; Post Synaptic Weight; Pre Synaptic Weight; Instant to Fire; (Afferent) Firing Time
0.2; 1; 120; 1; 20; true; 0.2766097202931836; 0.3506097202931837; 0.074; 1; 0.074;-1;0.2
0.2; 1; 110; 1; 10; true; 0.8116904459917238; 0.8856904459917238; 0.074; 1; 0.074;-1;0.2
0.2; 1; 121; 1; 21; true; 0.0501108482821827; 0.1241108482821827; 0.074; 1; 0.074;-1;0.2
0.2; 1; 122; 1; 22; true; 0.6623517762792733; 0.7363517762792733; 0.074; 1; 0.074;-1;0.2
0.2; 1; 102; 1; 2; true; 0.1836855949439213; 0.2576855949439213; 0.074; 1; 0.074;-1;0.2
0.2; 1; 105; 1; 5; true; 0; 0.074; 0.074; 1; 0.074;-1;0.2
0.2; 1; 111; 1; 11; true; 0.7795837698466532; 0.8535837698466532; 0.074; 1; 0.074;-1;0.2
0.2; 1; 123; 1; 23; true; 0.5537475536919825; 0.6277475536919824; 0.074; 1; 0.074;-1;0.2
0.2; 1; 124; 1; 24; true; 0.5876147686454029; 0.6616147686454028; 0.074; 1; 0.074;-1;0.2
0.2; 1; 112; 1; 12; true; 0.6713539185391091; 0.745353918539109; 0.074; 1; 0.074;-1;0.2
0.2; 1; 125; 1; 25; true; 0.5753004910225209; 0.6493004910225209; 0.074; 1; 0.074;-1;0.2
0.2; 1; 126; 1; 26; true; 0.7711217810948033; 0.8451217810948033; 0.074; 1; 0.074;-1;0.2
0.2; 1; 106; 1; 6; true; 0.149298760608057; 0.223298760608057; 0.074; 1; 0.074;-1;0.2
0.2; 1; 113; 1; 13; true; 0.8608727965782281; 0.9348727965782281; 0.074; 1; 0.074;-1;0.2
0.2; 1; 127; 1; 27; true; 0.6659774846392162; 0.7399774846392162; 0.074; 1; 0.074;-1;0.2
0.2; 1; 128; 1; 28; true; 0.4524779759824308; 0.5264779759824307; 0.074; 1; 0.074;-1;0.2
0.2; 1; 114; 1; 14; true; 0.5179192406414612; 0.5919192406414612; 0.074; 1; 0.074;-1;0.2
0.2; 1; 129; 1; 29; true; 0.6807650429074042; 0.7547650429074042; 0.074; 1; 0.074;-1;0.2
0.2; 1; 130; 1; 30; true; 0.3400064188557175; 0.4140064188557175; 0.074; 1; 0.074;-1;0.2
1.2; 1; 129; 1; 29; true; 0.6847650429074041; 0.7587650429074041; 0.074; 1; 0.074;-1;1.2
1.2; 1; 130; 1; 30; true; 0.3440064188557175; 0.4180064188557175; 0.074; 1; 0.074;-1;1.2
1.2; 1; 110; 1; 10; true; 0.8156904459917238; 0.8896904459917238; 0.074; 1; 0.074;-1;1.2
1.2; 1; 136; 1; 36; true; 0.8843282473966547; 0.9583282473966547; 0.074; 1; 0.074;-1;1.2
1.2; 1; 131; 1; 31; true; 0.2410768518124584; 0.3150768518124584; 0.074; 1; 0.074;-1;1.2
1.2; 1; 101; 1; 1; true; 0.5489271973013239; 0.6229271973013238; 0.074; 1; 0.074;-1;1.2
0.2; 2; 120; 2; 20; true; 0.9542549406309766; 1.0282549406309767; 0.074; 1; 0.074;-1;0.2
0.2; 0; 146; 0; 46; true; 0.9479493959371631; 1.0229493959371632; 0.075; 1; 0.075;-1;0.2
1.2; 1; 100; 1; 0; true; 0.867423117308544; 0.941423117308544; 0.074; 1; 0.074;-1;1.2
0.2; 2; 110; 2; 10; true; 0.3304921348217822; 0.4044921348217822; 0.074; 1; 0.074;-1;0.2
0.2; 0; 102; 0; 2; true; 0.3490750984106917; 0.4240750984106917; 0.075; 1; 0.075;-1;0.2
1.2; 1; 139; 1; 39; true; 0.4893903916384219; 0.5633903916384219; 0.074; 1; 0.074;-1;1.2
0.2; 2; 121; 2; 21; true; 0.0566421378986218; 0.1306421378986218; 0.074; 1; 0.074;-1;0.2
