Firing Time, Firing Node, Firing Neuron,  Neuron Type, External Source
0, 1, 1216, inhibitory, true
0, 1, 1233, inhibitory, true
0, 1, 1267, inhibitory, true
0, 1, 1335, inhibitory, true
0, 1, 1471, inhibitory, true
0, 1, 1743, inhibitory, true
0, 1, 2287, inhibitory, true
0, 1, 3375, inhibitory, true
0, 1, 3376, inhibitory, true
0, 1, 2288, inhibitory, true
0, 1, 3377, inhibitory, true
0, 1, 3378, inhibitory, true
0, 1, 1744, inhibitory, true
0, 1, 2289, inhibitory, true
0, 1, 3379, inhibitory, true
0, 1, 3380, inhibitory, true
0, 1, 2290, inhibitory, true
0, 1, 3381, inhibitory, true
0, 1, 3382, inhibitory, true
0, 1, 1472, inhibitory, true
0, 1, 1745, inhibitory, true
0, 1, 2291, inhibitory, true
0, 1, 3383, inhibitory, true
0, 1, 3384, inhibitory, true
0, 1, 2292, inhibitory, true
0, 1, 3385, inhibitory, true
0, 1, 3386, inhibitory, true
0, 1, 1746, inhibitory, true
0, 1, 2293, inhibitory, true
0, 1, 3387, inhibitory, true
0, 1, 3388, inhibitory, true
0, 1, 2294, inhibitory, true
0, 1, 3389, inhibitory, true
0, 1, 3390, inhibitory, true
0, 1, 1336, inhibitory, true
0, 1, 1473, inhibitory, true
0, 1, 1747, inhibitory, true
0, 1, 2295, inhibitory, true
0, 1, 3391, inhibitory, true
0, 1, 3392, inhibitory, true
0, 1, 2296, inhibitory, true
0, 1, 3393, inhibitory, true
0, 1, 3394, inhibitory, true
0, 1, 1748, inhibitory, true
0, 1, 2297, inhibitory, true
0, 1, 3395, inhibitory, true
0, 1, 3396, inhibitory, true
0, 1, 2298, inhibitory, true
0, 1, 3397, inhibitory, true
0, 1, 3398, inhibitory, true
0, 1, 1474, inhibitory, true
0, 1, 1749, inhibitory, true
0, 1, 2299, inhibitory, true
0, 1, 3399, inhibitory, true
0, 1, 3400, inhibitory, true
0, 1, 2300, inhibitory, true
0, 1, 3401, inhibitory, true
0, 1, 3402, inhibitory, true
0, 1, 1750, inhibitory, true
0, 1, 2301, inhibitory, true
0, 1, 3403, inhibitory, true
0, 1, 3404, inhibitory, true
0, 1, 2302, inhibitory, true
0, 1, 3405, inhibitory, true
0, 1, 3406, inhibitory, true
0, 1, 1268, inhibitory, true
0, 1, 1337, inhibitory, true
0, 1, 1475, inhibitory, true
0, 1, 1751, inhibitory, true
0, 1, 2303, inhibitory, true
0, 1, 3407, inhibitory, true
0, 1, 3408, inhibitory, true
0, 1, 2304, inhibitory, true
0, 1, 3409, inhibitory, true
0, 1, 3410, inhibitory, true
0, 1, 1752, inhibitory, true
0, 1, 2305, inhibitory, true
0, 1, 3411, inhibitory, true
0, 1, 3412, inhibitory, true
0, 1, 2306, inhibitory, true
0, 1, 3413, inhibitory, true
0, 1, 3414, inhibitory, true
0, 1, 1476, inhibitory, true
0, 1, 1753, inhibitory, true
0, 1, 2307, inhibitory, true
0, 1, 3415, inhibitory, true
0, 1, 3416, inhibitory, true
0, 1, 2308, inhibitory, true
0, 1, 3417, inhibitory, true
0, 1, 3418, inhibitory, true
0, 1, 1754, inhibitory, true
0, 1, 2309, inhibitory, true
0, 1, 3419, inhibitory, true
0, 1, 3420, inhibitory, true
0, 1, 2310, inhibitory, true
0, 1, 3421, inhibitory, true
0, 1, 3422, inhibitory, true
0, 1, 1338, inhibitory, true
0, 1, 1477, inhibitory, true
0, 1, 1755, inhibitory, true
0, 1, 2311, inhibitory, true
0, 1, 3423, inhibitory, true
0, 1, 3424, inhibitory, true
0, 1, 2312, inhibitory, true
0, 1, 3425, inhibitory, true
0, 1, 3426, inhibitory, true
0, 1, 1756, inhibitory, true
0, 1, 2313, inhibitory, true
0, 1, 3427, inhibitory, true
0, 1, 3428, inhibitory, true
0, 1, 2314, inhibitory, true
0, 1, 3429, inhibitory, true
